gene	Sample_1-1	Sample_1-2	Sample_1-3	Sample_1-4	Sample_2-1	Sample_2-2	Sample_2-3	Sample_2-4
Gene_1154	1054	744	778	1146	973	1243	733	1119
Gene_1155	2233	2193	1263	1524	1942	2045	1704	1397
Gene_1156	926	868	1832	893	2703	5210	4665	3849
Gene_1157	55958	64550	59089	111140	65908	53293	46996	53357
Gene_1158	0	0	1	0	2	0	0	0
Gene_1159	8	14	11	6	12	11	11	6
Gene_1160	104	112	91	110	143	142	143	127
Gene_1161	25	19	38	39	5	12	10	11
Gene_1162	1473	1448	890	1891	1809	961	1393	1776
Gene_1163	56	106	149	105	114	112	123	97
Gene_1164	19	12	21	14	8	8	11	20
Gene_1165	11382	14091	17415	13400	11592	25155	14011	19503
Gene_1166	91	110	60	93	120	86	133	104
Gene_1167	7	7	5	9	3	0	6	2
Gene_1168	1053	1076	384	682	483	802	702	613
Gene_1169	7	17	7	14	11	18	15	9
Gene_1170	222	373	255	227	299	371	223	309
Gene_1171	811	864	1244	1573	975	1458	876	1097
Gene_1172	412	402	304	266	382	212	258	307
Gene_1173	8400	12819	8630	8786	10949	8649	12639	13189
Gene_1174	649	934	331	394	1806	2221	2088	2588
Gene_1175	1	0	2	2	4	6	0	3
Gene_1176	74	25	46	49	48	40	49	72
Gene_1177	616	614	538	683	666	605	669	556
Gene_1178	2	0	1	1	2	1	0	2
Gene_1179	0	0	0	0	1	0	0	0
Gene_1180	199	242	110	182	328	211	109	189
Gene_1181	152	165	162	105	162	124	176	73
Gene_1182	4	4	3	5	9	8	4	5
Gene_1183	1846	2015	1448	1934	1727	1638	1310	1584
Gene_1184	74	59	84	48	81	91	108	62
Gene_1185	10	8	12	15	8	7	7	13
Gene_1186	15263	17849	20053	18244	18145	20593	17951	13900
Gene_1187	8	2	6	3	6	6	6	4
Gene_1188	8	8	5	6	6	4	5	15
Gene_1189	1	3	4	0	4	22	7	13
Gene_1190	1113	915	1105	711	823	886	996	938
Gene_1191	2	8	4	2	4	6	0	4
Gene_1192	273	307	327	298	401	318	450	277
Gene_1193	6745	5451	4329	6210	2129	1470	1941	1534
Gene_1194	136	121	141	138	102	77	129	117
Gene_1195	24	20	34	21	21	19	32	27
Gene_1196	32	18	17	26	13	18	22	22
Gene_1197	0	0	0	0	1	0	0	1
Gene_1198	418	520	408	234	332	279	394	368
Gene_1199	427	328	292	269	226	471	313	360
Gene_1200	1242	719	1096	1321	1134	824	1571	1534
Gene_1201	8	18	14	13	15	22	21	18
Gene_1202	379	228	383	335	372	356	240	347
Gene_1203	13106	13152	13559	15720	56782	59081	45380	62517
Gene_1204	1	2	1	0	0	0	1	0
Gene_1205	2	3	1	1	3	4	5	7
Gene_1206	1977	1585	3027	2146	2689	2746	1825	3064
Gene_1207	12	15	12	17	5	9	6	12
Gene_1208	2788	2397	3689	2994	3122	2799	2608	2988
Gene_1209	336	373	225	375	354	315	266	233
Gene_1210	241	299	238	321	218	315	381	233
Gene_1211	4768	5558	4175	4307	4059	5721	2698	4843
Gene_1212	3	3	5	1	6	3	3	2
Gene_1213	1820	1444	2057	1686	1143	2214	1057	1409
Gene_1214	307504	267910	261821	266505	1320455	1295702	1182496	1022269
Gene_1215	78	66	77	60	44	62	88	89
Gene_1216	1234	1047	1243	1565	1402	1218	1519	1041
Gene_1217	0	1	0	0	1	0	0	0
Gene_1218	32225	45314	60096	29907	37470	47484	29288	41406
Gene_1219	336	359	481	432	289	427	316	452
Gene_1220	18	21	11	18	18	7	11	16
Gene_1221	71	85	100	97	102	63	55	66
Gene_1222	7	1	3	4	1	3	4	0
Gene_1223	6	12	9	6	17	6	16	6
Gene_1224	1	0	1	0	1	0	1	2
Gene_1225	14	20	20	15	19	25	22	8
Gene_1226	6	4	1	0	5	4	5	0
Gene_1227	125	136	103	153	150	150	105	90
Gene_1228	7528	5359	4151	3933	4516	6785	6030	4906
Gene_1229	1	2	0	2	0	0	0	2
Gene_1230	20	10	31	25	11	18	16	14
Gene_1231	25862	22373	22260	24062	20871	19403	23553	20583
Gene_1232	5	3	3	2	2	4	1	2
Gene_1233	4	2	6	3	6	0	2	5
Gene_1234	1078	1667	1144	1227	1137	1659	1261	1963
Gene_1235	29	26	24	21	38	22	24	21
Gene_1236	42	62	44	41	42	48	55	38
Gene_1237	7437	6145	8545	8310	4832	7649	12429	9153
Gene_1238	640	415	731	589	578	616	435	724
Gene_1239	86	80	69	120	71	95	64	68
Gene_1240	0	0	0	1	0	1	0	1
Gene_1241	6	6	2	11	9	10	15	9
Gene_1242	144	239	238	229	159	78	134	131
Gene_1243	112	189	126	136	71	167	129	147
Gene_1244	95	72	101	90	79	131	77	77
Gene_1245	0	0	0	0	0	0	0	2
Gene_1246	16	17	18	29	11	23	14	16
Gene_1247	329	447	358	209	1158	1058	1456	1707
Gene_1248	629	540	591	529	688	582	560	649
Gene_1249	4236	3915	5404	4208	5123	3909	2970	6155
Gene_1250	21	26	23	21	12	7	11	10
Gene_1251	32	37	39	35	28	26	46	19
Gene_1252	41	44	51	30	38	48	61	65
Gene_1253	17	10	14	21	12	18	11	19
Gene_1254	1630	1384	2367	1943	8895	9834	6557	7655
Gene_1255	388	475	506	347	515	416	402	531
Gene_1256	112	87	116	75	67	65	134	59
Gene_1257	3786	2955	1815	3479	1627	3335	3961	4834
Gene_1258	378	332	317	337	349	532	382	409
Gene_1259	170	178	212	128	178	266	119	168
Gene_1260	148	371	213	371	307	306	356	341
Gene_1261	720	840	851	741	1024	889	951	819
Gene_1262	0	0	1	1	1	1	0	0
Gene_1263	984	1205	997	1141	1011	802	1402	817
Gene_1264	483	493	357	415	434	224	286	301
Gene_1265	55	48	76	56	56	57	82	81
Gene_1266	238	212	259	195	128	243	246	124
Gene_1267	2	1	0	0	0	0	0	1
Gene_1268	67	54	95	104	91	92	63	73
Gene_1269	1	1	2	5	0	1	0	0
Gene_1270	180	204	187	165	212	195	154	180
Gene_1271	103	192	136	160	170	157	212	135
Gene_1272	0	0	2	0	1	3	0	2
Gene_1273	10	7	6	10	5	6	6	9
Gene_1274	74	55	57	75	69	59	110	65
Gene_1275	6	14	14	4	7	10	13	13
Gene_1276	138	146	145	275	147	149	158	200
Gene_1277	21	8	11	11	5	18	5	14
Gene_1278	3	5	1	4	2	6	2	3
Gene_1279	0	1	0	0	0	1	0	0
Gene_1280	19	22	12	37	28	27	6	18
Gene_1281	2966	4582	3243	2949	3749	4405	2405	3375
Gene_1282	80	84	64	115	145	91	120	78
Gene_1283	85	69	56	68	108	95	52	58
Gene_1284	20	7	4	13	11	14	17	15
Gene_1285	3	3	2	0	5	2	1	2
Gene_1286	4538	4324	4668	7486	4524	8116	9174	5472
Gene_1287	2	5	4	6	4	2	4	5
Gene_1288	52	52	50	41	73	59	60	58
Gene_1289	0	0	0	2	0	0	0	0
Gene_1290	295	276	397	520	325	387	421	304
Gene_1291	2	0	2	0	2	2	0	1
Gene_1292	156	236	246	264	91	105	78	87
Gene_1293	0	0	0	0	2	0	0	0
Gene_1294	12	16	13	14	9	12	12	7
Gene_1295	40	42	33	30	49	31	49	37
Gene_1296	0	0	0	0	0	0	0	0
Gene_1297	12583	10027	13926	11502	13724	11502	10219	11671
Gene_1298	14	13	25	19	21	17	10	14
Gene_1299	22	15	24	18	28	29	22	40
Gene_1300	2	2	7	0	3	1	1	1
Gene_1301	15	10	14	12	20	15	11	17
Gene_1302	3	2	7	3	8	2	4	2
Gene_1303	4102	3382	4989	5126	3066	5501	3976	5303
Gene_1304	2172	1957	2154	2030	2135	1552	1328	2084
Gene_1305	3	2	3	0	9	3	1	2
Gene_1306	143	103	106	147	106	203	163	222
Gene_1307	1311	1927	1524	1713	1470	1321	1647	2074
Gene_1308	5797	6050	5008	7830	7227	3471	6224	7473
Gene_1309	1	2	0	0	0	1	0	2
Gene_1310	450	437	518	333	121	161	119	141
Gene_1311	43	55	44	25	39	50	41	49
Gene_1312	146	118	134	112	158	119	115	127
Gene_1313	82	38	70	46	44	40	66	72
Gene_1314	2002	2211	2618	1772	1793	2108	2118	2044
Gene_1315	6	5	9	6	7	10	11	6
Gene_1316	7	3	8	6	6	8	3	3
Gene_1317	231	180	198	249	74	124	87	109
Gene_1318	38	79	89	66	73	54	83	48
Gene_1319	69	55	41	56	31	38	33	50
Gene_1320	252	176	305	244	214	303	231	266
Gene_1321	49	60	38	43	53	41	49	35
Gene_1322	1537	2007	1888	2000	1459	2852	2631	1581
Gene_1323	0	1	1	0	1	1	0	0
Gene_1324	380	747	805	663	165	310	279	276
Gene_1325	418	863	538	421	716	573	609	722
Gene_1326	20	24	12	22	10	14	21	16
Gene_1327	32	46	27	16	43	32	45	38
Gene_1328	2	4	1	1	18	8	5	9
Gene_1329	65	65	41	67	36	53	50	60
Gene_1330	646	512	261	448	558	692	707	357
Gene_1331	14	26	27	22	4	5	12	8
Gene_1332	1662	1368	1127	1262	1607	1869	1306	2344
Gene_1333	691	1251	822	701	990	1060	1135	968
Gene_1334	415	449	419	515	647	434	217	479
Gene_1335	1246	1096	735	821	974	1252	995	1100
Gene_1336	3799	6171	4121	4249	4982	4066	3138	3836
Gene_1337	19	21	19	26	22	31	21	23
Gene_1338	57	50	83	51	20	21	18	20
Gene_1339	385	447	712	396	321	331	426	354
Gene_1340	382	331	268	310	640	367	381	416
Gene_1341	116	133	71	112	53	43	40	25
Gene_1342	3	0	2	3	0	1	1	1
Gene_1343	0	0	0	0	0	0	0	0
Gene_1344	91	149	104	86	86	100	96	95
Gene_1345	120	109	128	124	83	95	95	123
Gene_1346	1	1	1	2	1	0	0	0
Gene_1347	33	42	39	27	43	54	29	28
Gene_1348	226	138	143	93	144	129	99	133
Gene_1349	38	68	44	75	175	117	239	226
Gene_1350	1	1	4	2	2	0	0	3
Gene_1351	6378	3901	5311	6475	22446	24330	30754	36959
Gene_1352	49	51	50	78	300	291	250	249
Gene_1353	17	15	10	16	20	21	22	13
Gene_1354	161	155	180	155	110	192	170	153
Gene_1355	1	2	1	1	1	3	1	1
Gene_1356	11155	6725	14754	8844	8553	7450	8093	7786
Gene_1357	1	0	0	0	0	0	0	0
Gene_1358	1	0	2	2	5	0	1	5
Gene_1359	5	10	6	9	6	6	11	5
Gene_1360	255	183	299	254	252	262	202	207
Gene_1361	263	201	203	214	192	234	98	182
Gene_1362	0	0	1	0	0	0	0	0
Gene_1363	14	8	9	7	7	13	17	9
Gene_1364	6456	7918	7039	6604	5213	7811	5787	4836
Gene_1365	1	2	1	3	1	6	4	1
Gene_1366	569	753	680	679	744	838	594	650
Gene_1367	4131	4725	4298	4967	4125	4105	6001	3658
Gene_1368	122	81	148	148	41	38	30	43
Gene_1369	6	6	7	4	4	6	2	3
Gene_1370	144696	100949	96148	107958	76326	94638	126707	99721
Gene_1371	22	39	32	27	95	146	122	138
Gene_1372	1	1	2	1	2	1	0	0
Gene_1373	3	2	1	2	4	6	5	1
Gene_1374	11	8	13	8	32	42	48	26
Gene_1375	1300	2713	2566	2631	2777	2845	2508	2074
Gene_1376	490	406	536	522	304	574	514	450
Gene_1377	21	27	16	21	23	20	28	12
Gene_1378	1791	2113	1809	2168	2171	2986	2422	2523
Gene_1379	9	9	5	10	14	12	16	14
Gene_1380	0	2	0	0	3	3	0	2
Gene_1381	36	47	33	31	43	44	44	27
Gene_1382	451	543	599	404	469	527	500	524
Gene_1383	602	626	523	620	679	572	434	500
Gene_1384	41	22	44	26	31	26	25	20
Gene_1385	64	72	41	57	63	61	45	55
Gene_1386	349	390	439	230	364	242	259	327
Gene_1387	0	0	0	0	0	0	2	0
Gene_1388	4	3	6	2	1	4	1	0
Gene_1389	984	1795	1409	1594	819	1181	1756	1326
Gene_1390	2149	1447	2778	2548	3430	2407	1565	2380
Gene_1391	459	536	363	412	408	685	451	344
Gene_1392	82	80	82	63	138	62	106	91
Gene_1393	217	194	129	184	226	186	162	195
Gene_1394	228	194	220	221	1200	1278	1304	1067
Gene_1395	12	15	6	11	14	5	25	10
Gene_1396	777	533	489	759	559	754	442	654
Gene_1397	3	1	2	1	1	1	2	2
Gene_1398	75	84	133	127	83	103	134	161
Gene_1399	279	389	263	230	306	242	276	170
Gene_1400	2360	2736	1987	1996	8992	7340	7526	9235
Gene_1401	46101	36758	64506	41521	47921	34005	38457	31665
Gene_1402	0	2	1	2	5	2	1	2
Gene_1403	1375	1592	1107	1509	1064	1400	1320	1158
Gene_1404	43	63	72	88	57	86	30	55
Gene_1405	1307	519	1058	608	847	1109	636	796
Gene_1406	238	155	267	274	292	152	242	253
Gene_1407	40	75	48	51	56	49	84	52
Gene_1408	8001	24510	7725	14205	12207	10857	15417	15094
Gene_1409	1633	1472	1270	872	972	1119	1686	1785
Gene_1410	3	3	7	9	8	1	3	7
Gene_1411	335	340	207	264	241	239	174	234
Gene_1412	390	319	324	383	541	281	238	392
Gene_1413	232	143	206	178	134	181	242	219
Gene_1414	0	1	1	1	0	0	0	0
Gene_1415	15	36	41	20	16	19	11	24
Gene_1416	91	54	52	49	81	48	69	100
Gene_1417	193	171	307	184	247	139	156	198
Gene_1418	0	3	2	2	3	4	0	3
Gene_1419	24	24	27	18	23	27	23	26
Gene_1420	1300	1261	649	758	1060	665	723	837
Gene_1421	1	1	0	0	1	0	0	0
Gene_1422	5	4	6	5	2	6	2	3
Gene_1423	10	9	8	2	9	2	4	3
Gene_1424	28	30	39	40	38	34	22	36
Gene_1425	9	12	12	13	8	10	6	7
Gene_1426	22	17	30	27	154	77	76	153
Gene_1427	10	11	11	23	26	19	25	12
Gene_1428	398	312	452	265	246	327	412	323
Gene_1429	888	591	796	495	607	453	518	643
Gene_1430	41	61	78	83	81	111	76	39
Gene_1431	8	17	17	16	13	6	13	14
Gene_1432	2168	1992	1688	2511	1304	2294	1367	2261
Gene_1433	52812	70712	32747	51795	33196	49148	32542	54054
Gene_1434	29253	36035	25418	27582	27514	27545	31181	24939
Gene_1435	117	200	156	183	202	235	154	218
Gene_1436	14	15	17	14	20	17	13	15
Gene_1437	0	0	0	0	0	0	0	1
Gene_1438	5	3	2	2	2	1	3	1
Gene_1439	179	113	213	306	90	107	59	118
Gene_1440	2066	1302	1945	1473	2845	1432	2422	2715
Gene_1441	1	1	0	1	0	0	0	0
Gene_1442	2	4	6	1	3	8	2	1
Gene_1443	45	39	36	28	44	36	42	45
Gene_1444	6611	6455	5919	8371	8718	4167	5437	5606
Gene_1445	25963	31904	25021	21763	20555	33394	21239	32710
Gene_1446	194	207	126	204	162	143	181	104
Gene_1447	366	322	236	215	325	286	202	297
Gene_1448	3	0	1	2	1	2	3	1
Gene_1449	860	756	652	470	2669	3014	2614	3165
Gene_1450	8	3	4	5	0	1	5	3
Gene_1451	2	0	0	0	0	0	0	0
Gene_1452	20	19	30	19	19	28	21	11
Gene_1453	102	61	130	135	107	74	94	108
Gene_1454	318	281	312	352	216	201	275	220
Gene_1455	50	67	61	42	77	49	54	78
Gene_1456	4	3	2	6	3	3	3	0
Gene_1457	2924	4947	3231	3420	10303	7977	15034	15898
Gene_1458	108	55	78	105	26	23	31	31
Gene_1459	2	0	0	0	1	0	0	0
Gene_1460	129	95	57	85	42	31	26	28
Gene_1461	1	1	2	2	0	3	2	5
Gene_1462	11	19	11	19	11	14	8	5
Gene_1463	380	497	453	498	568	628	458	632
Gene_1464	7028	5982	4634	7490	6086	6285	6339	5371
Gene_1465	24663	36815	18636	46145	35384	24915	33894	31579
Gene_1466	35	20	33	18	141	141	164	118
Gene_1467	6	13	6	8	7	7	4	13
Gene_1468	9	5	6	9	2	2	0	5
Gene_1469	13	7	5	15	1	12	5	18
Gene_1470	615	798	606	640	687	602	541	597
Gene_1471	753	757	844	668	287	296	274	213
Gene_1472	473	493	441	478	500	282	539	329
Gene_1473	9	16	9	6	10	16	5	15
Gene_1474	102	123	149	146	140	129	61	143
Gene_1475	888	503	580	555	651	692	843	486
Gene_1476	406	303	294	364	279	405	238	326
Gene_1477	12590	16983	16639	8342	8310	20869	13557	16390
Gene_1478	33	11	32	32	36	17	48	34
Gene_1479	0	0	1	0	1	0	0	0
Gene_1480	13	8	11	14	9	9	13	12
Gene_1481	141	123	340	271	53	63	87	78
Gene_1482	88971	80674	72966	81831	93089	86625	75700	74748
Gene_1483	2521	1801	1771	1396	2388	2583	2945	2702
Gene_1484	1	2	0	1	6	2	3	2
Gene_1485	0	0	0	0	0	0	1	0
Gene_1486	1397	1535	1400	1206	2313	1005	1241	1601
Gene_1487	35	55	51	39	55	48	39	36
Gene_1488	1464	1173	1728	1255	1352	1258	1008	1561
Gene_1489	10	7	13	12	13	13	8	9
Gene_1490	14	16	12	9	8	15	11	12
Gene_1491	408	261	744	597	182	171	122	165
Gene_1492	1460	1142	1505	1888	11107	6117	8926	7936
Gene_1493	0	2	2	1	3	1	0	0
Gene_1494	154	203	317	185	342	250	268	258
Gene_1495	82	86	92	103	124	100	126	81
Gene_1496	41	49	48	39	171	279	215	254
Gene_1497	160	226	271	238	681	1080	684	807
Gene_1498	263	273	309	258	207	253	234	267
Gene_1499	363	531	278	248	125	84	144	154
Gene_1500	761	1479	985	1357	663	1013	963	1111
Gene_1501	114	147	94	111	121	129	104	98
Gene_1502	48	84	42	53	79	73	43	54
Gene_1503	830	638	426	432	2215	2976	1439	1627
Gene_1504	2246	1904	2330	2768	3426	2493	1613	2326
Gene_1505	1378	1016	1586	1520	616	494	547	567
Gene_1506	1495	1166	1173	1268	1213	1421	1063	1417
Gene_1507	20	15	16	7	19	14	12	14
Gene_1508	30721	37137	58303	52204	31700	56068	35455	36538
Gene_1509	54	66	66	46	81	65	42	51
Gene_1510	1	3	0	0	3	1	0	0
Gene_1511	0	0	1	0	1	0	1	1
Gene_1512	261	196	181	202	257	176	183	211
Gene_1513	1	1	1	0	0	2	0	0
Gene_1514	176	207	116	163	163	156	230	275
Gene_1515	146904	93502	205556	114364	133142	150778	82727	113347
Gene_1516	5	4	8	5	8	7	13	8
Gene_1517	869	1312	1085	1824	1186	1069	862	672
Gene_1518	61	49	63	86	48	37	61	78
Gene_1519	0	0	0	0	0	0	0	1
Gene_1520	266	293	217	217	256	418	194	267
Gene_1521	2461	2327	2200	2593	2355	3410	1506	2404
Gene_1522	179	156	172	94	88	64	41	46
Gene_1523	24	18	37	26	21	27	17	25
Gene_1524	28	18	38	26	135	73	149	133
Gene_1525	151	101	141	147	114	138	169	104
Gene_1526	16553	17955	19170	22719	11812	16078	23243	18088
Gene_1527	2	1	2	0	1	0	1	0
Gene_1528	14176	18035	13129	13472	13852	15822	17629	17459
Gene_1529	948	945	969	1356	987	1062	1016	811
Gene_1530	7	11	4	11	10	16	7	20
Gene_1531	322	324	184	305	254	405	335	218
Gene_1532	705	816	1102	851	953	995	620	1181
Gene_1533	16	7	8	13	11	8	5	3
Gene_1534	293	312	317	249	248	211	304	220
Gene_1535	525	279	397	447	326	284	440	487
Gene_1536	7	5	1	1	23	18	29	22
Gene_1537	5	0	1	1	0	0	1	0
Gene_1538	1	1	1	0	9	11	11	2
Gene_1539	133491	82397	63679	100132	323902	356117	338372	353228
Gene_1540	4816	7465	4688	4429	1839	1684	2110	1857
Gene_1541	4	4	6	4	5	13	3	7
Gene_1542	338	423	443	283	418	385	719	334
Gene_1543	5294	6285	4359	4614	4519	4486	3608	2804
Gene_1544	10	8	9	7	16	9	19	3
Gene_1545	878	809	932	569	778	964	652	932
Gene_1546	574	559	502	685	616	533	612	529
Gene_1547	5	3	1	4	5	6	4	6
Gene_1548	352	380	230	153	253	384	449	348
Gene_1549	102	65	67	67	64	50	52	48
Gene_1550	82	59	80	110	74	136	67	113
Gene_1551	2001	2117	1720	1408	1776	2272	2219	2557
Gene_1552	1530	1414	1031	1756	997	942	835	1442
Gene_1553	123	120	56	68	278	393	463	440
Gene_1554	2156	1692	1841	1358	1497	1956	1378	1999
Gene_1555	1026	671	704	1073	892	698	1068	750
Gene_1556	170	191	230	148	1100	1093	746	701
Gene_1557	0	1	0	0	0	0	0	0
Gene_1558	40	44	42	57	268	142	108	137
Gene_1559	21	40	22	50	22	43	34	59
Gene_1560	5	6	8	2	4	7	11	9
Gene_1561	0	0	1	1	0	1	0	0
Gene_1562	2873	3829	4813	5743	5629	4567	4836	3742
Gene_1563	44	49	60	49	25	46	59	43
Gene_1564	34	62	21	49	184	161	158	292
Gene_1565	1	4	4	2	8	5	9	3
Gene_1566	29	23	21	23	21	21	22	37
Gene_1567	2	4	3	0	0	0	2	2
Gene_1568	3872	2242	2011	2031	3593	2155	2015	2024
Gene_1569	274	438	308	272	1360	1172	941	1424
Gene_1570	5	6	4	7	10	8	4	12
Gene_1571	493	348	392	312	404	446	440	424
Gene_1572	0	1	3	1	1	2	0	4
Gene_1573	1988	2707	2098	2989	1460	2226	2277	1942
Gene_1574	2079	1520	1619	1913	1490	1432	2111	1581
Gene_1575	589	989	863	1169	1214	1754	892	919
Gene_1576	27	21	33	26	12	17	29	20
Gene_1577	87	101	69	72	75	67	58	86
Gene_1578	5	10	5	2	5	6	9	9
Gene_1579	14526	10735	11397	12605	5545	3977	3927	5261
Gene_1580	3618	2889	5628	4308	4504	4851	5082	3342
Gene_1581	94	112	102	119	164	124	96	148
Gene_1582	2858	3139	2968	2961	2884	3087	1794	3468
Gene_1583	35	35	30	27	22	32	40	42
Gene_1584	290	372	450	316	461	366	452	436
Gene_1585	6	0	1	8	3	5	1	3
Gene_1586	125	88	97	98	105	88	133	101
Gene_1587	4578	4863	5795	5341	6989	5189	3030	2925
Gene_1588	43898	58693	45172	49593	32846	46485	86794	62958
Gene_1589	509	728	730	652	681	846	665	419
Gene_1590	19	27	29	13	20	24	20	19
Gene_1591	5	11	14	13	12	9	20	9
Gene_1592	0	1	0	0	0	1	4	1
Gene_1593	0	2	0	2	0	1	0	0
Gene_1594	819	1071	1005	927	626	671	1047	749
Gene_1595	211	208	195	259	1704	1526	1543	1133
Gene_1596	0	0	0	0	2	0	1	0
Gene_1597	8	13	10	4	8	10	13	6
Gene_1598	11	17	8	9	11	8	15	20
Gene_1599	119	187	210	175	147	147	213	228
Gene_1600	34	26	22	16	16	17	21	14
Gene_1601	10010	4980	7725	6089	9793	7185	9008	6315
Gene_1602	34	25	26	25	173	115	149	148
Gene_1603	36	40	34	42	46	39	24	36
Gene_1604	83	38	68	126	47	65	82	45
Gene_1605	39	64	51	55	57	60	54	109
Gene_1606	2415	1791	2751	2028	751	747	829	813
Gene_1607	682	695	923	597	807	657	494	945
Gene_1608	7	7	6	6	7	6	9	5
Gene_1609	5	8	5	11	3	5	4	5
Gene_1610	15	20	9	10	20	5	28	16
Gene_1611	498	425	695	810	509	786	511	346
Gene_1612	1708	1506	1510	1894	1153	1816	2064	2740
Gene_1613	122	133	113	123	182	114	112	228
Gene_1614	0	2	3	1	5	9	2	6
Gene_1615	352	255	212	177	183	252	222	175
Gene_1616	107	106	117	78	424	363	441	315
Gene_1617	3	0	7	3	12	8	8	4
Gene_1618	935	705	1683	1602	1208	982	1675	1327
Gene_1619	0	0	0	0	0	0	0	0
Gene_1620	73	117	128	114	108	111	118	100
Gene_1621	1126	1194	904	1141	858	966	970	976
Gene_1622	50	44	65	44	55	31	52	101
Gene_1623	1149	1744	2130	2182	7142	6010	9248	6963
Gene_1624	6	17	9	8	13	17	11	4
Gene_1625	1975	1221	1613	1046	1651	1669	1256	2061
Gene_1626	596	176	325	412	313	231	261	457
Gene_1627	7428	7003	20000	12377	14957	16563	18642	11878
Gene_1628	105	155	176	111	101	139	135	110
Gene_1629	77	69	65	74	100	124	92	84
Gene_1630	0	1	0	0	0	0	0	0
Gene_1631	1517	1723	1862	2213	1749	1765	1443	1493
Gene_1632	152	94	98	121	119	91	70	80
Gene_1633	44	49	35	31	41	42	49	53
Gene_1634	2924	5023	3683	4071	3569	4872	4716	3550
Gene_1635	117	120	98	106	95	97	145	101
Gene_1636	2	2	2	5	4	2	3	1
Gene_1637	8217	6449	4661	6066	6758	5361	5436	7623
Gene_1638	2	0	0	1	0	0	1	1
Gene_1639	63	59	56	85	64	46	64	53
Gene_1640	203	145	130	130	103	100	171	164
Gene_1641	305	200	214	238	296	224	202	265
Gene_1642	102	99	86	144	61	94	64	61
Gene_1643	2013	2691	2700	3194	1138	1340	1721	1120
Gene_1644	1	1	0	0	0	0	0	0
Gene_1645	110	119	133	143	94	150	152	114
Gene_1646	1208	1169	1408	1130	845	1271	1107	1035
Gene_1647	64	73	60	102	52	57	50	65
Gene_1648	4	4	5	2	3	1	0	6
Gene_1649	1491	1042	1169	1297	1389	1540	959	1509
Gene_1650	3	6	4	6	5	6	5	10
Gene_1651	683	562	951	447	716	947	1143	770
Gene_1652	683	499	593	300	488	354	413	499
Gene_1653	7	7	1	7	8	8	8	6
Gene_1654	356	566	521	750	364	916	735	582
Gene_1655	4234	5606	5536	5858	4321	6527	6277	6289
Gene_1656	29	21	21	35	56	33	52	26
Gene_1657	1327	968	1137	1197	1152	1462	1133	946
Gene_1658	59	71	59	65	56	52	69	70
Gene_1659	200	141	315	273	1026	638	675	854
Gene_1660	151350	171716	185461	117289	121713	194473	199565	202303
Gene_1661	12	8	11	10	9	3	10	8
Gene_1662	119	66	89	80	69	81	47	97
Gene_1663	3109	1497	2238	1881	1981	2392	2071	2055
Gene_1664	14	22	22	11	13	16	9	11
Gene_1665	15	12	15	8	13	12	9	6
Gene_1666	244035	225151	285407	293537	437678	385518	370547	302756
Gene_1667	16	20	12	21	16	23	16	12
Gene_1668	2041	1780	3004	3098	2652	2183	1451	2666
Gene_1669	4	6	6	11	10	6	3	11
Gene_1670	0	3	3	2	4	0	1	2
Gene_1671	17	15	17	23	20	22	16	13
Gene_1672	1397	941	1843	1747	2362	2071	1586	1114
Gene_1673	13	11	11	17	11	10	7	11
Gene_1674	0	0	0	1	1	0	1	2
Gene_1675	82	129	119	166	101	120	90	126
Gene_1676	74	62	82	48	38	15	17	24
Gene_1677	59	127	95	134	99	70	110	160
Gene_1678	35	61	37	46	32	31	27	37
Gene_1679	5	12	16	21	16	16	22	10
Gene_1680	18	7	14	30	20	19	18	30
Gene_1681	116	62	60	97	88	58	92	68
Gene_1682	4474	4468	3236	4480	6796	4280	4430	4359
Gene_1683	12	17	32	35	38	14	23	42
Gene_1684	449	254	416	586	302	405	381	489
Gene_1685	60	42	47	47	41	34	39	24
Gene_1686	10	12	14	5	5	10	12	11
Gene_1687	213	156	344	234	173	250	276	323
Gene_1688	5	0	1	0	1	2	5	1
Gene_1689	1634	1543	1795	1783	1904	1485	2036	2639
Gene_1690	4	2	3	4	1	1	1	1
Gene_1691	0	0	2	1	2	0	0	1
Gene_1692	12	7	12	18	14	11	8	17
Gene_1693	93197	74358	60694	101480	88462	66311	108493	90817
Gene_1694	800	965	1033	723	701	825	634	1387
Gene_1695	8	5	6	11	36	36	39	46
Gene_1696	893	1525	1263	1456	1201	934	1569	1588
Gene_1697	249	206	117	130	184	255	171	142
Gene_1698	887	848	790	472	570	575	793	907
Gene_1699	1194	1129	1041	835	345	385	393	310
Gene_1700	656	631	491	545	690	482	511	586
Gene_1701	80	90	83	97	108	92	75	96
Gene_1702	3422	4216	3351	3692	2085	2817	2496	4214
Gene_1703	12	9	7	10	3	9	10	3
Gene_1704	83	137	93	113	144	138	101	88
Gene_1705	4	4	7	5	5	2	1	5
Gene_1706	32	31	25	27	37	25	19	22
Gene_1707	1	1	4	1	2	5	2	2
Gene_1708	862	752	1346	503	561	1266	567	966
Gene_1709	547	508	455	340	697	376	526	283
Gene_1710	839	903	776	1031	255	299	278	268
Gene_1711	798	550	842	467	701	357	878	735
Gene_1712	11	11	25	21	17	15	27	17
Gene_1713	10	16	4	3	9	5	5	9
Gene_1714	6149	6069	3207	6697	5493	3687	7488	6822
Gene_1715	4	6	1	3	4	5	6	5
